id,command,character,imageFolderName,imageNum,mainText,setBranch,yesText,noText,choseYes,choseNo,skipID,eventFlag,checkNeedEventNum,eventNum,afterEventSkipID,chractorFunction,animFuncName,SEpath
0,set_bgm,,,,,FALSE,,,,,,,,,,,,
1,check_EventFlag,,,,,,,,,,2,TRUE,0,1,,,,
2,fade_blackOut,,,,,,,,,,,,,,,,,
3,play_sound,,,,,,,,,,,,,,,,,SE/Tool/Pickel
4,set_text,マオ,Player,1,(金属音が聞こえる・・・・),FALSE,,,,,,,,,,,,
5,chara_func,,,,,,,,,,,,,,,SpawnSyo_Field,,
6,fade_blackIn,,,,,,,,,,,,,,,,,
7,set_text,ビー・アルディエフ,BRDF,1,うお！なんだお前！,,,,,,,,,,,,,
8,set_text,ビー・アルディエフ,BRDF,1,モンスター！…じゃないよな,TRUE,違うよ,モンスターです,9,10,,,,,,,,
9,set_text,ビー・アルディエフ,BRDF,1,だよな。あ～びっくりした,,,,,,11,,,,,,,
10,set_text,ビー・アルディエフ,BRDF,1,嘘つけ！どう見ても人間だろ！,,,,,,11,,,,,,,
11,set_text,ビー・アルディエフ,BRDF,1,しっかし、村以外の人間なんて初めて見たな,,,,,,,,,,,,,
12,set_text,ビー・アルディエフ,BRDF,1,なあお前どっから来たん…ってやばい！,,,,,,,,,,,,,
13,play_sound,,,,,,,,,,,,,,,,,SE/Monster/Common_Roar
14,set_text,マオ,Player,1,(モンスターの鳴き声だ・・・！),,,,,,,,,,,,,
15,set_text,ビー・アルディエフ,BRDF,1,とりあえずここから離れようぜ！,,,,,,,,,,,,,
16,set_text,ビー・アルディエフ,BRDF,1,すぐ近くに俺たちが住んでる村があるんだ,,,,,,,,,,,,,
17,set_text,マオ,Player,1,(彼についていこう・・・),,,,,,,,,,,,,
18,fade_blackOut,,,,,,,,,,,,,,,,,
19,chara_func,,,,,,,,,,,,,,,Move2Village,,
20,chara_func,,,,,,,,,,,,,,,SpawnSyo_Story,,
21,fade_blackWait,,,,,,,,,,,,,,,,,
22,fade_blackIn,,,,,,,,,,,,,,,,,
23,set_text,ビー・アルディエフ,BRDF,1,……それで、お前はどうやってここに来たんだ?,,,,,,,,,,,,,
24,set_text,マオ,Player,1,(ここまでひたすら掘ってきたことを伝えた・・・),,,,,,,,,,,,,
25,set_text,ビー・アルディエフ,BRDF,1,お前一人でか？　そりゃすげえ,TRUE,すごいでしょ,大したことじゃない,26,27,,,,,,,,
26,set_text,ビー・アルディエフ,BRDF,1,ああ。並みの人間ならできっこねえ,,,,,,30,,,,,,,
27,set_text,ビー・アルディエフ,BRDF,1,いやすげーよ。俺なんて、一日中頑張ってもちっとも前に進まないんだ,,,,,,,,,,,,,
28,set_text,ビー・アルディエフ,BRDF,1,穴掘りっていうのは、なんかこう、コツみたいのがあるんだって父ちゃんは言ってたけど,,,,,,,,,,,,,
29,set_text,ビー・アルディエフ,BRDF,1,あんたはそれを知ってるんだろうな,,,,,,30,,,,,,,
30,set_text,ビー・アルディエフ,BRDF,1,なあ、俺にも穴の掘り方教えてくれないか？,,,,,,,,,,,,,
31,set_text,村長,Sontyo1,1,おーい,,,,,,,,,,,,,
32,chara_func,,,,,,,,,,,,,,,SpawnSontyo_Story,,
33,chara_func,,,,,,,,,,,,,,,SontyoMove,,
34,chara_func,,,,,,,,,,,,,,,,VecUp_Syo,
35,set_text,村長,Sontyo1,1,お前、また一人で採掘場に行ってたのか,,,,,,,,,,,,,
36,set_text,ビー・アルディエフ,BRDF,1,やべ、父ちゃんだ,,,,,,,,,,,,,
37,set_text,村長,Sontyo1,1,いつも言ってるだろう。危ねえから勝手に採掘場には近づくなって……,,,,,,,,,,,,,
38,set_text,村長,Sontyo1,1,そこのお嬢ちゃんは？,,,,,,,,,,,,,
39,set_text,ビー・アルディエフ,BRDF,1,掘ってたら出てきた,TRUE,違うよ！,モンスターです,40,40,,,,,,,,
40,set_text,村長,Sontyo1,1,もしかしてアンタ、一人で掘ってきたのか?,,,,,,,,,,,,,
41,set_text,マオ,Player,1,(これまでのことを伝えた・・・),,,,,,,,,,,,,
42,set_text,村長,Sontyo1,1,"……なるほど。すると別の村から来たのか。
よし、分かった。",,,,,,,,,,,,,
43,set_text,村長,Sontyo1,1,"アンタ、せっかくだから家に来ねえか。
俺はこう見えてもこの村の村長をやってるんだ。",,,,,,,,,,,,,
44,set_text,村長,Sontyo1,1,"外の村の人間なんざ、もうすっかり見ねえからな。
俺も色々と話を聞かせてもらいたい",,,,,,,,,,,,,
45,set_text,ビー・アルディエフ,BRDF,1,なあなあ！俺もその話、聞いていいよな？,,,,,,,,,,,,,
46,set_text,村長,Sontyo1,1,まあそう焦るな。この子がいいならな。,,,,,,,,,,,,,
47,set_text,村長,Sontyo1,1,見るところあまり食料の蓄えもないようだし、そのまま放っておく訳にもいかん,,,,,,,,,,,,,
48,play_sound,,,,,,,,,,,,,,,,,SE/Human/Stomach
49,set_text,マオ,Player,1,(そういえばだいぶおなかが減っている・・・),,,,,,,,,,,,,
50,set_text,村長,Sontyo1,1,"よし、一緒に来な。
ちょうど母さんが夕飯の支度を始める頃だ",,,,,,,,,,,,,
51,set_text,村長,Sontyo1,1,遠慮しなくていい。人間、困ったときはお互い様だろう？,,,,,,,,,,,,,
52,set_text,ビー・アルディエフ,BRDF,1,よっしゃあー！,,,,,,,,,,,,,
53,fade_blackOut,,,,,,,,,,,,,,,,,
54,end_talk,,,,,,,,,,,,,,,,,
